visibility,t_onset,t_detect
7.0,197833.77587492112,199368.63916588016
3.57,201727.39758400247,202431.9616669044
3.57,207759.8707089154,210692.273583957
4.14,212813.26429196168,214689.2728749616
3.0,217916.6527918959,219625.9939578548
4.14,223542.31533396058,226296.13958391827
3.57,227192.66024999786,228013.85187508538
4.14,232214.3751669163,234373.64379188046
4.14,235949.2437919788,236899.06974997837
7.0,239418.94545894582,240271.3156259805
4.14,243356.16741689853,244674.93049997836
4.14,247877.13774991687,249594.55891581718
3.57,255399.70241696108,259876.59691692796
5.29,259552.80566692352,260924.9547918979
3.0,265892.0050839614,269096.9080419699
3.0,270278.0902499752,271936.08379107434
7.0,273997.8542919224,274822.11333291605
3.0,280719.3209169153,284568.5538328206
4.14,284289.4865419902,285077.4849998951
7.0,287942.49845889397,288791.07541683596
3.57,293480.8100839099,296387.1312498767
3.57,298969.21870891936,301425.51200091373
4.14,307992.86062491126,314101.59687487874
4.14,311613.03312493954,312405.1607078826
3.0,315615.8407089487,316871.56470794696
4.14,321270.7187919831,323795.41237500496
7.0,326375.1415419346,328466.29483391996
5.29,330327.8982089786,331175.39533297066
4.14,334064.7489998909,334910.93749983236
4.14,338351.47658397444,339858.2500839792
3.57,343340.4182089679,345477.5275839446
5.29,347976.7527918983,349807.13574995287
4.14,353581.0753339855,354365.5931670172
3.57,359035.52866691723,361988.33941586316
3.57,364290.3672920028,366529.81350000016
7.0,367760.139124929,368474.4115408929
4.14,371196.526416922,372056.1467498727
3.0,378301.6890418902,382604.5992079843
5.29,381988.44320897013,382756.13700097427
3.57,386292.85729198717,387578.91004194506
3.57,391364.3224999495,393652.29437395
7.0,395416.54941695277,396439.50587498955
3.57,402038.2892918959,405723.2425839128
5.29,405858.7767919479,406729.90575001575
3.57,412831.1883339146,417024.8966668686
5.29,416834.94716695976,417889.7318330081
4.14,422839.83741700184,425899.19883303344
3.0,429545.35283392295,433395.05441684276
4.14,434750.56541698985,436718.9479999896
3.0,445276.23954193667,452968.7136668898
7.0,448827.9986249935,449513.5569159128
5.29,452214.0225839056,452980.0688759377
5.29,457918.8600839069,460678.68199990597
4.14,462155.673624943,463401.1218749173
5.29,465925.5244999612,466776.3840419892
4.14,469896.3647499867,470904.22416605987
3.57,473498.5579999583,474419.2574999714
7.0,479520.33658395056,482570.4715419514
3.57,484157.5349589065,485993.4681669064
4.14,490362.285499922,493510.18816697877
5.29,495034.5607500011,496665.86916602217
3.0,499620.48624990974,500973.8148738351
4.14,504357.7760839788,506292.63333393726
3.0,508928.5106249107,510686.44324899185
7.0,514599.3664589431,515373.47279197536
3.57,518103.045791965,518879.79458295275
5.29,522572.1849589562,524367.3260009335
3.0,527844.3513339106,530366.6979999933
7.0,531363.8885839563,532442.4447090086
3.57,537485.1362499129,540956.1342499172
3.57,543973.4694999596,547367.8260829719
3.57,547894.76558391,548905.2563749673
4.14,551880.9841669817,552562.297167019
7.0,555667.9380839877,556830.5215419922
3.57,560923.1758749764,563371.227582912
7.0,564442.2624589596,565207.0622498821
5.29,568345.1302499697,569535.2260419121
3.0,573732.6362089906,576512.7317920513
7.0,577135.5872499943,577834.5026660198
7.0,580655.1227089902,581406.1706250021
5.29,584173.8677920029,584924.1170420963
5.29,589712.6468339656,592271.4629999781
3.0,600637.5378749752,608554.9048749916
4.14,605292.9347919952,606964.7147919703
3.57,610196.6284170002,612075.7987920614
4.14,616517.8170419484,619963.3392089698
3.0,624125.3115839744,628873.9024589257
4.14,628679.0464589093,630399.0029588994
7.0,632448.4927499387,633197.5214990042
5.29,635934.7709589591,636711.6860419
3.57,641924.0447089495,645081.2580418959
3.0,647577.8678749874,650344.2382080201
5.29,651248.5899589909,651890.9402079834
5.29,654767.3686669394,655610.0606250064
5.29,658871.5312919766,660197.9487079615
5.29,662623.3662919793,663740.1546669379
3.57,669495.6959589571,671489.735499951
4.14,674032.4006249383,675698.2859579101
5.29,677418.995708921,678082.4800418876
7.0,680589.6517919563,681234.7066249885
5.29,685477.0154169481,687540.6066670502
4.14,689012.8280000016,689850.5889170291
4.14,693850.4812499695,695899.7347499197
3.57,699121.028499906,701647.2064999351
3.0,704041.8310000049,706258.2822909998
5.29,707695.8234999282,708589.3347078189
7.0,711231.2415839359,711933.0501250178
3.57,715618.1837089779,717133.9823750267
3.57,721172.9105419898,723753.4397499356
3.0,726545.8069589175,729331.3245839626
3.0,731432.6043749414,733685.6301659672
3.0,737135.9509999119,738712.3894578498
5.29,741339.2910419451,742402.8946249699
4.14,745460.6589999702,747016.8615409592
5.29,749764.6508749994,751070.4893750325
3.57,754634.2496669339,756750.395082864
5.29,758937.9088749364,760445.970540978
3.0,764058.8966249442,766467.5914578792
4.14,768011.8927499233,769108.5758330254
7.0,772782.2024169099,774585.7384168729
3.0,781123.126874906,786933.7486658432
5.29,784776.210249979,785503.2582080411
5.29,789146.8120419839,790988.0673329998
7.0,792650.5217499752,793299.8771659285
5.29,796969.8043749621,798353.6166249495
3.57,801456.2665419606,802932.7696249774
4.14,807612.3355840053,810961.6279170103
3.57,811298.6772499233,812188.8213329902
4.14,822323.6180419289,828467.1769579826
5.29,827378.5610418953,829578.6998749198
7.0,832032.2206249647,833542.216583034
7.0,836737.2171248961,838639.9075828912
3.0,840657.0871669054,841841.7079588352
7.0,844343.018041919,845179.8372908914
5.29,848147.3693749821,848829.3977490347
7.0,852966.7094169371,855063.6864158977
3.57,857003.4577089781,858486.1235830421
4.14,863575.0109999161,867106.201790967
