visibility,t_onset,t_detect
4.14,868597.9148339201,871005.0572078861
7.0,872633.4634999465,873744.880790934
5.29,876519.7970839171,877356.0807499988
7.0,879822.4283339176,880634.2195830029
3.0,884293.1275839172,886206.8301249482
3.0,891182.1662499523,895288.9474579087
3.57,895501.6771249892,896781.6703739762
3.0,901991.2425839528,905348.2219169335
5.29,908030.006916956,911044.6818750305
3.57,913917.6104169991,917007.0812500734
5.29,917638.0219169613,918376.3514169212
7.0,921174.0714169526,922004.1077498998
7.0,925077.1195839578,926132.5224578567
4.14,930398.9107919578,932812.6797500253
3.57,938504.6986249462,943867.6213329844
3.0,945110.7354588993,948667.857749965
5.29,948814.204124962,949493.9487080509
3.0,952266.1169168958,952891.9446248282
5.29,957337.2281669825,959456.3741669944
4.14,961341.0384999542,962480.7056660019
3.0,966261.5707499161,968551.4862908702
5.29,969731.5187499579,970440.0239989581
7.0,976769.7647919366,978704.0051249741
3.0,983608.626166936,987888.2552499371
3.57,988430.491791917,990202.2699589096
7.0,992184.5102088945,992980.5765419686
7.0,995286.6645419225,995933.8213339169
4.14,1002942.1744999662,1007240.8932909556
3.0,1011183.799833986,1016533.0574579956
7.0,1016787.2832498932,1019396.8648739345
5.29,1021374.6412919089,1023130.1803749474
4.14,1025112.1973749204,1025874.0467079869
5.29,1030216.3243339118,1032679.9715419719
7.0,1033835.0857089926,1034410.7480830234
3.0,1040523.7915839488,1044433.9574999129
7.0,1044078.5891249496,1044726.7889159219
3.0,1050031.9665418891,1053188.6697908584
3.57,1053985.2698339336,1055095.9843749832
7.0,1058188.5361669073,1059371.0207908833
3.57,1063676.6105839005,1066094.0632919036
4.14,1069366.013833899,1071831.849333942
3.0,1074752.1966249868,1077281.6914160457
3.57,1082492.6879999647,1087253.2827919303
3.57,1086228.8809999544,1086935.7720829966
3.57,1091649.9878748972,1094252.5330828456
7.0,1095219.2642919207,1095952.2342499066
3.57,1101074.928666926,1103994.1764998902
3.57,1107746.9486249564,1111800.9976668935
3.57,1111867.0651669335,1113042.829207955
3.57,1118223.9202919835,1121681.9555829233
7.0,1121758.6301249638,1122388.5428749444
3.57,1125963.5509169847,1127307.4062920595
3.0,1130198.3861249126,1131403.8698748872
4.14,1134419.7076669615,1135662.322416897
