location,noise,contrast,correct,RT
2.125,0.2,0.53,1.0,0.5487280830275267
2.125,0.2,0.06,0.0,1.0553176251705736
2.125,0.2,0.01,1.0,0.49877920909784734
2.125,0.2,0.12,1.0,0.5255466671660542
2.125,0.2,0.02,1.0,1.1279555829241872
2.125,0.2,0.03,0.0,0.6560813749674708
2.125,0.2,0.26,1.0,0.6961463750340044
2.125,0.2,0.53,1.0,0.3835165419150144
2.125,0.2,0.06,1.0,1.2002731249667704
2.125,0.2,0.03,0.0,1.304872749838978
2.125,0.2,0.12,1.0,0.679029791848734
2.125,0.2,0.26,1.0,0.8067599590867758
2.125,0.2,0.01,0.0,1.136182958027348
2.125,0.2,0.02,1.0,0.9587393749970943
2.125,0.2,0.02,1.0,0.6480621669907123
2.125,0.2,0.53,1.0,0.4875179170630872
2.125,0.2,0.26,1.0,0.2151354169473052
2.125,0.2,0.06,1.0,0.39065079181455076
2.125,0.2,0.01,0.0,1.0154108749702573
2.125,0.2,0.03,1.0,0.9667981669772416
2.125,0.2,0.12,1.0,0.7273832499049604
2.125,0.2,0.02,1.0,0.9673870829865336
2.125,0.2,0.12,1.0,0.391362875001505
2.125,0.2,0.01,0.0,0.5514845829457045
2.125,0.2,0.53,1.0,0.39161391579546034
2.125,0.2,0.26,1.0,0.37498579104430974
2.125,0.2,0.03,1.0,1.2475105829071254
2.125,0.2,0.06,0.0,0.7112931660376489
2.125,0.2,0.12,1.0,0.3347982920240611
2.125,0.2,0.02,0.0,0.951283749891445
2.125,0.2,0.01,0.0,1.1029056669212878
2.125,0.2,0.53,1.0,0.3994590840302408
2.125,0.2,0.06,1.0,0.6714744169730693
2.125,0.2,0.26,1.0,0.3439701250754297
2.125,0.2,0.03,1.0,1.6951965829357505
2.125,0.2,0.01,0.0,0.8555399999022484
2.125,0.2,0.03,1.0,0.3761180001311004
2.125,0.2,0.12,1.0,0.6154451670590788
2.125,0.2,0.02,1.0,0.9994251660536975
2.125,0.2,0.26,0.0,0.535929209087044
2.125,0.2,0.06,0.0,0.8552758749574423
2.125,0.2,0.53,1.0,0.390804624883458
2.125,0.2,0.12,1.0,0.68672841694206
2.125,0.2,0.53,1.0,0.47165429196320474
2.125,0.2,0.01,0.0,1.0635060002095997
2.125,0.2,0.02,0.0,0.48693974991329014
2.125,0.2,0.06,1.0,0.3833534999284893
2.125,0.2,0.26,0.0,0.3194573752116412
2.125,0.2,0.03,1.0,1.1597444168291986
2.125,0.2,0.03,0.0,1.5841348750982434
2.125,0.2,0.01,0.0,0.61469716578722
2.125,0.2,0.26,1.0,0.39076641597785056
2.125,0.2,0.02,1.0,0.9753069581929594
2.125,0.2,0.12,1.0,0.43144920794293284
2.125,0.2,0.53,1.0,0.38274533301591873
2.125,0.2,0.06,1.0,0.6802182081155479
2.125,0.2,0.02,0.0,0.5034144162200391
2.125,0.2,0.03,1.0,0.647087916964665
2.125,0.2,0.01,0.0,0.5674658331554383
2.125,0.2,0.53,1.0,1.0314934579655528
2.125,0.2,0.12,1.0,0.6309565000701696
2.125,0.2,0.06,1.0,0.4801658750511706
2.125,0.2,0.26,1.0,0.8238706248812377
2.125,0.2,0.06,0.0,1.4948456669226289
2.125,0.2,0.02,1.0,0.6802038750611246
2.125,0.2,0.12,1.0,0.4077592920511961
2.125,0.2,0.03,0.0,0.9439105419442058
2.125,0.2,0.53,1.0,0.6712581249885261
2.125,0.2,0.26,1.0,0.463391917059198
2.125,0.2,0.01,0.0,0.5434721249621361
2.125,0.2,0.03,0.0,1.2712368750944734
2.125,0.2,0.01,0.0,0.6314679170027375
2.125,0.2,0.26,1.0,0.4947665419895202
2.125,0.2,0.02,0.0,0.5194888750556856
2.125,0.2,0.12,1.0,0.5274102501571178
2.125,0.2,0.53,1.0,0.7755827088840306
2.125,0.2,0.06,1.0,1.3059722080361098
2.125,0.2,0.06,1.0,0.9680220410227776
2.125,0.2,0.53,1.0,0.4307708749547601
2.125,0.2,0.02,1.0,0.6951140000019222
2.125,0.2,0.26,1.0,0.4872606669086963
2.125,0.2,0.03,0.0,0.6075457918923348
2.125,0.2,0.12,1.0,0.7514032078906894
2.125,0.2,0.01,1.0,0.6401717499829829
2.125,0.2,0.02,0.0,1.2230078331194818
2.125,0.2,0.53,1.0,0.5034101658966392
2.125,0.2,0.01,0.0,0.6954802088439465
2.125,0.2,0.26,1.0,0.3681937500368804
2.125,0.2,0.06,1.0,0.38306575012393296
2.125,0.2,0.12,1.0,0.41624366701580584
2.125,0.2,0.03,0.0,0.8800988339353353
2.125,0.2,0.06,1.0,0.6232337919063866
2.125,0.2,0.03,1.0,0.46305625000968575
2.125,0.2,0.01,0.0,0.46353137493133545
2.125,0.2,0.26,1.0,0.5522525000851601
2.125,0.2,0.12,1.0,0.335511791985482
2.125,0.2,0.53,0.0,0.6148829578887671
2.125,0.2,0.02,0.0,1.2481734999455512
2.125,0.2,0.53,1.0,0.5200124159455299
2.125,0.2,0.06,1.0,1.2309543339069933
2.125,0.2,0.03,0.0,1.2155369999818504
2.125,0.2,0.02,0.0,1.2067922500427812
2.125,0.2,0.01,0.0,0.5826874999329448
2.125,0.2,0.26,1.0,1.174935834016651
2.125,0.2,0.12,1.0,1.3512331668753177
2.125,0.2,0.53,1.0,0.5434484169818461
2.125,0.2,0.02,1.0,0.7586308338213712
