subject,direction,eccentricity,noise,threshold
wsg,0,0,0.1,0.078
wsg,0,0,0.2,0.148
wsg,0,1.5,0,0.103
wsg,0,1.5,0.05,0.097
wsg,0,1.5,0.1,0.151
wsg,0,1.5,0.2,0.231
wsg,0,3,0,0.143
wsg,0,3,0.05,0.161
wsg,0,3,0.1,0.216
wsg,0,3,0.2,0.301
wsg,0,4.5,0,0.251
wsg,0,4.5,0.05,0.243
wsg,0,4.5,0.1,0.297
wsg,0,4.5,0.2,0.428
wsg,45,0,0,0.037
wsg,45,0,0.05,0.059
wsg,45,0,0.1,0.078
wsg,45,0,0.2,0.148
wsg,45,1.5,0,0.093
wsg,45,1.5,0.05,0.123
wsg,45,1.5,0.1,0.173
wsg,45,1.5,0.2,0.254
wsg,45,3,0,0.203
wsg,45,3,0.05,0.196
wsg,45,3,0.1,0.224
wsg,45,3,0.2,0.351
wsg,45,4.5,0,0.524
wsg,45,4.5,0.05,0.592
wsg,45,4.5,0.1,0.582
wsg,45,4.5,0.2,NA
wsg,90,0,0,0.037
wsg,90,0,0.05,0.059
wsg,90,0,0.1,0.078
wsg,90,0,0.2,0.148
wsg,90,1.5,0,0.163
wsg,90,1.5,0.05,0.157
wsg,90,1.5,0.1,0.216
wsg,90,1.5,0.2,0.277
wsg,90,3,0,0.271
wsg,90,3,0.05,0.292
wsg,90,3,0.1,0.355
wsg,90,3,0.2,0.511
wsg,90,4.5,0,0.617
wsg,90,4.5,0.05,0.678
wsg,90,4.5,0.1,0.772
wsg,90,4.5,0.2,NA
wsg,135,0,0,0.037
wsg,135,0,0.05,0.059
wsg,135,0,0.1,0.078
wsg,135,0,0.2,0.148
wsg,135,1.5,0,0.113
wsg,135,1.5,0.05,0.16
wsg,135,1.5,0.1,0.176
wsg,135,1.5,0.2,0.308
wsg,135,3,0,0.216
wsg,135,3,0.05,0.254
wsg,135,3,0.1,0.353
wsg,135,3,0.2,0.528
wsg,135,4.5,0,0.372
wsg,135,4.5,0.05,0.459
wsg,135,4.5,0.1,0.569
wsg,135,4.5,0.2,NA
wsg,180,0,0,0.037
wsg,180,0,0.05,0.059
wsg,180,0,0.1,0.078
wsg,180,0,0.2,0.148
wsg,180,1.5,0,0.087
wsg,180,1.5,0.05,0.11
wsg,180,1.5,0.1,0.147
wsg,180,1.5,0.2,0.233
wsg,180,3,0,0.175
wsg,180,3,0.05,0.182
wsg,180,3,0.1,0.224
wsg,180,3,0.2,0.339
wsg,180,4.5,0,0.201
wsg,180,4.5,0.05,0.239
wsg,180,4.5,0.1,0.309
wsg,180,4.5,0.2,0.442
wsg,225,0,0,0.037
wsg,225,0,0.05,0.059
wsg,225,0,0.1,0.078
wsg,225,0,0.2,0.148
wsg,225,1.5,0,0.138
wsg,225,1.5,0.05,0.159
wsg,225,1.5,0.1,0.173
wsg,225,1.5,0.2,0.294
wsg,225,3,0,0.268
wsg,225,3,0.05,0.294
wsg,225,3,0.1,0.302
wsg,225,3,0.2,0.392
wsg,225,4.5,0,0.465
wsg,225,4.5,0.05,0.52
wsg,225,4.5,0.1,0.56
wsg,225,4.5,0.2,0.846
wsg,270,0,0,0.037
wsg,270,0,0.05,0.059
wsg,270,0,0.1,0.078
wsg,270,0,0.2,0.148
wsg,270,1.5,0,0.123
wsg,270,1.5,0.05,0.162
wsg,270,1.5,0.1,0.196
wsg,270,1.5,0.2,0.306
wsg,270,3,0,0.369
wsg,270,3,0.05,0.393
wsg,270,3,0.1,0.424
wsg,270,3,0.2,0.639
wsg,270,4.5,0,NA
wsg,270,4.5,0.05,NA
wsg,270,4.5,0.1,NA
wsg,270,4.5,0.2,NA
wsg,315,0,0,0.037
wsg,315,0,0.05,0.059
wsg,315,0,0.1,0.078
wsg,315,0,0.2,0.148
wsg,315,1.5,0,NA
wsg,315,1.5,0.05,NA
wsg,315,1.5,0.1,NA
wsg,315,1.5,0.2,NA
wsg,315,3,0,NA
wsg,315,3,0.05,NA
wsg,315,3,0.1,NA
wsg,315,3,0.2,NA
wsg,315,4.5,0,NA
wsg,315,4.5,0.05,NA
wsg,315,4.5,0.1,NA
wsg,315,4.5,0.2,NA
